"geneSet","mean","median","meanabs","meansqr","maxmean","sig_n","sign_test","rank_sum","ks_orig","ks_weighted"
"GO:0008237",0,0,0,0,0,0,0,0,0,0
"GO:0008238",0,0.428571428571429,0,0,0,0,0,0,0.714285714285714,0
"GO:0008242",0,0,0,0,0,0,0,0,0,0
"GO:0008276",0,0,0,0,0,0,0.142857142857143,0,0.142857142857143,0
"GO:0008375",0,0,0,0,0,0,0,0,0,0
"GO:0008509",0,0,0,0,0,0.142857142857143,0,0.142857142857143,0,0
"GO:0008514",0,0,0,0,0,0,0,0,0,0
"GO:0008528",0,0,0,0,0,0,0,0,0,0
"GO:0008757",0,0,0,0,0,0,0,0,0,0
"GO:0009055",0.428571428571429,0,0,0,0,0,0.285714285714286,0,0.714285714285714,0.428571428571429
"GO:0015078",0,0,0,0,0,0,0,0,0,0
"GO:0015079",0.428571428571429,0.714285714285714,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.571428571428571,0,0.714285714285714,0.428571428571429
"GO:0015081",0.428571428571429,0.714285714285714,0.142857142857143,0.142857142857143,0.428571428571429,0,0,0,0.428571428571429,0.285714285714286
"GO:0015085",0,0,0,0,0.142857142857143,0,0,0,0,0
"GO:0015103",0,0,0,0,0,0,0,0,0,0.285714285714286
"GO:0015108",0.142857142857143,0,0,0,0,0,0,0,0,0.142857142857143
"GO:0015171",0,0,0,0,0,0,0,0.285714285714286,0,0
